"Motion (by Mr. Higgs) agreed to.","17"
"Debate resumed from 3rd July (vide page 10460), on motion by Mr. Watt.","17"
"Upon which Mr. Higgs had moved, by way of amendment:","17"
"That all the words after ' That' be left out, with a view to insert in lieu thereof the words 'the Government does not possess the confidence of this House.'","17"
"When the debate was adjourned last evening, I was pointing out that the Ministerial statement presented by the Acting Prime Minister did not contain even a hint that the Government proposed to take any steps to deal with the Trusts and Combines which are operating in the Commonwealth, and which were so roundly condemned last evening by several Ministerial supporters. There can be no doubt that Trusts and Combines have Australia in their grip. The Beef Trust is operating strongly in the Commonwealth to-day. In a report presented by a Commission appointed by the United States Government to inquire into the Chicago Meat Trust and its ramifications, quotations from which appeared in the Barrier Daily Truth of 5th April last, there is given a list of the operations of the Beef Trust in various countries. According to the report of the Commission, Armour and Company, of the Meat Trust, are represented in Australia and New Zealand by Armour and Company, of Australasia, and Swift Company, also members of the Trust, are represented in Australia by the Australian Meat Export Company. The Commission reported that:","17"
"The Commission had to meet deliberate falsification of returns properly required under legal authority; we had to meet schools for witnesses, where employees were coached in anticipation of their being called to testify in an investigation ordered by you (President Wilson) and by the Congress of the United States; we had to meet a situation created by the destruction of letters and documents vital to this investigation; we had to meet a conspiracy in the preparation of answers to the lawful inquiries of the Commission. The public were told that no ' Trust ' existed, and that the ' Big Five ' were in most effective competition, but the report declares that ' these five corporations and their 500 odd subsidiary, controlled, and affiliated companies, are bound together by joint ownership, agreements, understandings, communities of interest, and family relationships.' In the three years 1915-1916-1917 four of the five big concerns made net profits amounting to £35,600,000, and it is stated that in 1917 their earnings were more than four times as much as in the year before the war.","12"
"The Commission went on to say -","12"
"It is our opinion that the failure of American meat production to keep pace with population is in large measure due to the conditions created and maintained in the markets by the Big Five.","12"
"This may well be the reason for the high cost of meat and other commodities in Australia. It has been denied from time to time that the Meat Trust is' operating in Australia. Here we have a Commission declaring, on unimpeachable testimony, that it is operating not only in America and other countries, but in Australia. Despite the fact that this evidence is in .the hands of the Government, that all this information is available to them, they show no disposition to take any action in regard to the Trust. At this critical period in our history, when we are facing a readjustment of industry and thousands of workless people do not know where they are to obtain the next meal, the Government are still unprepared to do anything. The Ministerial statement deals with a number of comparatively immaterial matters, but there is not even a hint in it that the Government intend to do anything to alleviate the necessities of the people or to deal with Trusts and Combines. I do not wish to weary honorable mem- . bars by making long quotations, but I desire to place before them -an extract from an article entitled ' The Simple Annals of the Poor,' which appeared in the Age of 20th June last. This statement is made, not by a Bolshevik or a red-ragger, but by a newspaper in an article dealing with the work of the Ministering Children's League. Referring to a meeting held by that League .in the Town Hall, the Age states that -","12"
"It was a pathetic picture of the lives of the little children of parents who were 'inefficient - not very .good at anything,' and whose helpless inefficiency was assumed to be largely due to stunted or ill-nurtured physiques. The fathers have very poor earning capacity, and they are the first to be dismissed when work slackens. Therefore their little ones know too much about want. One child, just returned from the Cottage by the Sea at Queenscliff, met her mother with the cry, 'Mother, there was food left over after every meal! As Sister Emilie, of the Central Methodist Mission, said, that one sentence revealed a terrible condition of affairs in that child's home.","12","17"
